"","logID","pasteID2","fightID","size","difficulty","tag_hmsize","first_mark_cast","2500/5000 dmg. (HM/NM)","Weighted(Beast=5)","Weighted(Beast=3)"
"4732","vJ1FGbCk6yf8HQ4r","vJ1FGbCk6yf8HQ4r33",33,10,"Hard","Heroic-10m",106.956,100.3076,118,119
"4733","vLmFCT1kzYa6nHjh","vLmFCT1kzYa6nHjh13",13,10,"Hard","Heroic-10m",111.713,102.8068,113,114
"4734","vLmFCT1kzYa6nHjh","vLmFCT1kzYa6nHjh14",14,10,"Hard","Heroic-10m",111.614,97.9312,108,108
"4735","vLmFCT1kzYa6nHjh","vLmFCT1kzYa6nHjh15",15,10,"Hard","Heroic-10m",69.647,107.0088,81,81
"4736","vMadpBLDz9thqwKc","vMadpBLDz9thqwKc22",22,25,"Hard","Heroic-25m",61.621,135.7368,102,105
"4737","vMadpBLDz9thqwKc","vMadpBLDz9thqwKc25",25,25,"Hard","Heroic-25m",76.267,104.5096,112,114
"4738","vMadpBLDz9thqwKc","vMadpBLDz9thqwKc26",26,25,"Hard","Heroic-25m",64.85,113.1224,111,111
"4739","vMadpBLDz9thqwKc","vMadpBLDz9thqwKc27",27,25,"Hard","Heroic-25m",69.727,104.1428,114,118
"4740","vMadpBLDz9thqwKc","vMadpBLDz9thqwKc29",29,25,"Hard","Heroic-25m",72.88,105.536,115,117
"4741","vV4PwyZWJbc8BLjM","vV4PwyZWJbc8BLjM1",1,10,"Hard","Heroic-10m",100.395,118.4396,121,124
"4742","vV4PwyZWJbc8BLjM","vV4PwyZWJbc8BLjM2",2,10,"Hard","Heroic-10m",100.818,106.8688,121,128
"4743","vVmJWBAyZXwhnbaQ","vVmJWBAyZXwhnbaQ10",10,10,"Hard","Heroic-10m",127.95,105.718,109,110
"4744","vVmJWBAyZXwhnbaQ","vVmJWBAyZXwhnbaQ11",11,10,"Hard","Heroic-10m",122.25,103.5824,117,119
"4745","vVmJWBAyZXwhnbaQ","vVmJWBAyZXwhnbaQ12",12,10,"Hard","Heroic-10m",142.462,109.5072,116,116
"4746","vVmJWBAyZXwhnbaQ","vVmJWBAyZXwhnbaQ13",13,10,"Hard","Heroic-10m",132.809,105.0948,107,107
"4747","vVmJWBAyZXwhnbaQ","vVmJWBAyZXwhnbaQ14",14,10,"Hard","Heroic-10m",139.186,100.6572,111,111
"4748","vVmJWBAyZXwhnbaQ","vVmJWBAyZXwhnbaQ15",15,10,"Hard","Heroic-10m",124.669,101.404,97,97
"4749","vVmJWBAyZXwhnbaQ","vVmJWBAyZXwhnbaQ7",7,10,"Hard","Heroic-10m",106.794,102.4092,96,100
"4750","vVmJWBAyZXwhnbaQ","vVmJWBAyZXwhnbaQ8",8,10,"Hard","Heroic-10m",135.989,103.6584,110,111
